feature,label,raw_value,scaled_value,shap_log_odds,approx_probability_points,supports,abs_shap
head_to_head_win_rate,Head-to-head win rate for Team A,0.5555555555555556,0.3184290348145538,-0.3286565840244293,-8.044186266713032,GT,0.3286565840244293
overall_win_rate_diff,Overall IPL win-rate advantage,-0.1201754385964912,-0.7989890695208507,0.32759925723075867,8.166330419507235,RCB,0.32759925723075867
team_exp_diff,Playoff experience advantage,4.0,2.425397186711663,-0.1581784039735794,-3.9164970446657286,GT,0.1581784039735794
cap_form_diff,Captain form advantage,-0.2,-1.5740508616242535,-0.11501723527908325,-2.854042197367357,GT,0.11501723527908325
win_rate_chasing_diff,Chasing win-rate advantage,-0.1150583244962885,-0.6213985710657751,0.0726122260093689,1.8124919008763507,RCB,0.0726122260093689
pp_bowl_wkts_diff,Powerplay wicket-taking advantage,-0.1,-0.4548130093323539,-0.060407597571611404,-1.5024407521323002,GT,0.060407597571611404
toss_win_match_win_corr,Venue toss-win/match-win tendency,0.641,5.4772255750516665,-0.0593516081571579,-1.4762356223220807,GT,0.0593516081571579
win_rate_last_5_diff,"Recent form, last five matches",0.2,0.5924172321996628,0.055758826434612274,1.3914027354587688,RCB,0.055758826434612274
nrr_diff,Net run-rate advantage,0.088,0.10439096091231992,0.047050125896930695,1.1738870057757256,RCB,0.047050125896930695
bowl_economy_diff,Bowling economy difference,-0.5199999999999996,-1.3697504594192602,-0.04420449957251549,-1.1000956614744872,GT,0.04420449957251549
playoff_stage_path_diff,Playoff path advantage,0.0,-0.04981874140517913,-0.04222364351153374,-1.0508723178612789,GT,0.04222364351153374
death_bowl_wkts_diff,Death-overs wicket-taking advantage,-0.2000000000000001,-1.4938030525626174,-0.027997182682156563,-0.6971363319040136,GT,0.027997182682156563
weather_humidity_pct,Live weather humidity,65.0,5.250361709584093,0.024412518367171288,0.6087806164665144,RCB,0.024412518367171288
death_bat_avg_diff,Death-overs batting-score advantage,-4.600000000000001,-0.7621331665117358,-0.019136924296617508,-0.47664871895616856,GT,0.019136924296617508
team1_toss_advantage,Specific toss advantage for Team A,0.141,3.487956052994692,-0.018062738701701164,-0.4499087169519689,GT,0.018062738701701164
right_hand_batter_diff,Right-hand batting matchup difference,0.0,0.02078679557888653,-0.017702991142868996,-0.44095300194994524,GT,0.017702991142868996
win_rate_venue_diff,Venue-specific win-rate advantage,-0.1714285714285714,-0.4515750779055321,-0.011870074085891247,-0.2957170120812924,GT,0.011870074085891247
batting_hand_balance_diff,Batting hand balance difference,-1.0,-0.8942370690173984,-0.01180296391248703,-0.2940457004084296,GT,0.01180296391248703
pp_bat_avg_diff,Powerplay batting-score advantage,2.6000000000000014,0.6931037446372842,0.011636456474661827,0.29008817708037204,RCB,0.011636456474661827
weather_dew_index,Weather dew index,0.5491666666666668,5.471124986692061,-0.011555535718798637,-0.2878836889808778,GT,0.011555535718798637
weather_rain_probability_pct,Live weather rain probability,0.0,-5.125238060953022,0.011485278606414795,0.28631829516984064,RCB,0.011485278606414795
dot_ball_bat_diff,Batting dot-ball pressure difference,1.2000000000000028,0.8883355040471037,-0.01011095754802227,-0.2519056899037919,GT,0.01011095754802227
win_rate_bat_first_diff,Batting-first win-rate advantage,-0.1156462585034013,-0.6323151690696402,-0.010098222643136978,-0.2515885060459133,GT,0.010098222643136978
team1_left_hand_batters,Team A left-hand batters listed,0.0,-0.4693472493498808,-0.009169410914182663,-0.22845425074322634,GT,0.009169410914182663
weather_temperature_c,Live weather temperature,35.3,5.033593538455619,0.007004229351878166,0.17458878779880727,RCB,0.007004229351878166
mid_bat_avg_diff,Middle-overs batting-score advantage,-1.7999999999999972,-0.42541643455161554,-0.004539312794804573,-0.11311145202210215,GT,0.004539312794804573
weather_heat_index,Weather heat index,0.7649999999999999,5.033593538455622,0.003918995149433613,0.0976774620409182,RCB,0.003918995149433613
right_arm_bowler_diff,Right-arm bowling matchup difference,0.0,0.04485685244932748,-0.0014606979675590992,-0.03640114473689726,GT,0.0014606979675590992
team2_left_hand_batters,Team B left-hand batters listed,1.0,1.0933810363816345,0.0013379519805312157,0.033344885521741086,RCB,0.0013379519805312157
left_hand_batter_diff,Left-hand batting matchup difference,-1.0,-1.0659338325704781,0.00019368949870113283,0.004827040139432359,RCB,0.00019368949870113283
win_rate_finals_diff,Historical final-match performance,1.0,1.0,0.0,0.0,RCB,0.0
avg_1st_inn_score_venue,Venue average first-innings score,192.0,5.4772255750516585,0.0,0.0,RCB,0.0
pitch_type_encoded,Pitch type encoding,0.5,0.0,0.0,0.0,RCB,0.0
bat_first_win_rate_venue,Venue batting-first win rate,0.359,-5.4772255750516665,0.0,0.0,RCB,0.0
boundary_size_factor,Boundary-size factor,1.2,5.477225575051665,0.0,0.0,RCB,0.0
dew_factor_impact,Dew impact,1.0,5.47722557505166,0.0,0.0,RCB,0.0
weather_dew_point_c,Live weather dew point,22.0,5.423970395961903,0.0,0.0,RCB,0.0
left_arm_bowler_diff,Left-arm bowling matchup difference,0.0,0.005865116650192339,0.0,0.0,RCB,0.0
