Player_Name,Team,Role,Batting_Runs,Batting_Strike_Rate,Wickets_Taken,Bowling_Economy,Player_Impact_Score,Team_Win_Probability,Batting_Match_Winner_Probability,Bowling_Match_Winner_Probability,Raw_POTM_Score,POTM_Probability
Kagiso Rabada,GT,Bowler,12,140.0,24,9.19,75.15929065490135,0.5377067161751308,0.2080290736493418,0.49116202708728346,56.049191247160174,12.942171212172132
Bhuvneshwar Kumar,RCB,Bowler,35,112.9,24,8.07,78.49440533740423,0.4622932838248692,0.16774704657436101,0.43917861963362576,55.280572424751824,12.764691463130953
Rashid Khan,GT,Bowler,95,165.3,19,8.72,65.53287944807553,0.5377067161751308,0.2685158287628823,0.4371847476944551,48.87040392687297,11.28453632882072
Mohammed Siraj,GT,Bowler,8,88.5,17,8.59,60.20695445243006,0.5377067161751308,0.1613660195444885,0.4147991568053269,44.89865557683054,10.367430372175615
Sai Sudharsan,GT,Batsman,638,157.92,0,0.0,58.8808,0.5377067161751308,0.5137970388927804,0.05377067161751308,43.909690887570555,10.139071139037815
Shubman Gill,GT,Batsman,616,161.67,0,0.0,58.17130000000001,0.5377067161751308,0.5068619363682919,0.05377067161751308,43.38058928425112,10.016897680573473
Virat Kohli,RCB,Batsman,557,163.82,0,0.0,56.749,0.4622932838248692,0.41386959713108984,0.04622932838248692,39.96612486007763,9.228472688308074
Glenn Maxwell,RCB,All-Rounder,210,185.4,8,8.45,54.9474936914937,0.4622932838248692,0.2917230032412106,0.2634342260943648,38.697393674294965,8.935513309889686
Faf du Plessis,RCB,Batsman,420,145.5,0,0.0,44.275000000000006,0.4622932838248692,0.3455669381065175,0.04622932838248692,31.181169327740353,7.199961731040901
Rajat Patidar,RCB,Batsman,385,152.1,0,0.0,43.791,0.4622932838248692,0.33655554659305825,0.04622932838248692,30.840306855586164,7.121254074850639
