Player_Name,Team,Role,team_win_probability,expected_runs,likely_runs_low,likely_runs_high,expected_balls_faced,probability_30_plus,probability_50_plus,dismissal_probability,not_out_probability,expected_wickets,probability_takes_wicket,expected_overs_bowled,POTM_Probability
Bhuvneshwar Kumar,RCB,Bowler,0.48052590574156867,6.366666666666667,6.0,10.5,5.639208739297314,0.16666666666666666,0.16666666666666666,0.0625,0.9375,1.7535714285714286,0.6875,3.9404761904761907,13.19541762777569
Abhishek Sharma,SRH,All-Rounder,0.5194740942584313,38.03809523809524,9.0,56.75,18.445395809376027,0.5625,0.375,0.875,0.125,0.3535714285714286,0.16666666666666666,1.2083333333333335,12.645651496210323
Eshan Malinga,SRH,Bowler,0.5194740942584313,0.65,0.35750000000000004,1.3575,0.8666666666666667,0.25,0.25,0.0625,0.9375,1.3964285714285716,0.6875,3.5952380952380953,10.97345574953604
Heinrich Klaasen,SRH,Wicketkeeper-Batsman,0.5194740942584313,42.095238095238095,32.5,57.25,26.39696375195215,0.75,0.4375,0.8125,0.1875,0.0,0.0,0.0,10.301560202983778
Ishan Kishan,SRH,Wicketkeeper-Batsman,0.5194740942584313,43.31190476190476,11.75,73.25,24.283418233855553,0.5,0.4375,0.9375,0.0625,0.0,0.0,0.0,9.88958921699724
Virat Kohli,RCB,Batsman,0.48052590574156867,43.695238095238096,20.0,56.0,26.672712791623795,0.5,0.375,0.75,0.25,0.0,0.0,0.0,9.53987423358198
Pat Cummins,SRH,Bowler,0.5194740942584313,12.3,6.765000000000001,19.065,7.935483870967742,0.25,0.25,0.1875,0.8125,1.0785714285714285,0.6666666666666666,4.047619047619048,9.412957463821916
Glenn Maxwell,RCB,All-Rounder,0.48052590574156867,15.0,8.25,23.25,8.090614886731391,,,0.0625,0.9375,0.2571428571428571,0.0,0.0,9.237029362057292
Faf du Plessis,RCB,Batsman,0.48052590574156867,30.0,16.5,46.5,20.618556701030926,,,0.0625,0.9375,0.0,0.0,0.0,7.4429140899723745
Rajat Patidar,RCB,Batsman,0.48052590574156867,29.325,10.25,53.75,19.28007889546351,0.5,0.35714285714285715,0.75,0.25,0.0,0.0,0.0,7.361550557063358
